Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Nigeria,NGA,"School enrollment, primary (% net)",SE.PRM.NENR,65.08852,..,..,..,66.39932,66.85314,67.3432,70.31079,63.39998,64.34126,64.13783,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,59.17909,..,..,..,61.49874,62.13848,63.2655,62.70804,56.74462,57.87079,58.10557,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,70.80227,..,..,..,71.13389,71.40649,71.28012,77.64785,69.81864,70.57702,69.94699,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,54.7700004577637,..,..,70.1999969482422,..,..,..,..,..,..,..,..,..,58.2200012207031,..,..,..,..,63.1599998474121,..,..,70.4100036621094
Nigeria,NGA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,43.3199996948242,..,..,64.25,..,..,..,..,..,..,..,..,..,49.060001373291,..,..,..,..,53.25,..,..,62.4199981689453
Nigeria,NGA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,66.7699966430664,..,..,76.129997253418,..,..,..,..,..,..,..,..,..,68.120002746582,..,..,81.6080964910529,..,73.7300033569336,..,..,78.4300003051758
Nigeria,NGA,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,42.9015,39.00579,40.27665,34.87788,35.80647,36.90999,40.4173,46.08983,..,..,37.55319,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
